뉴스 식별자,일자,언론사,기고자,제목,본문,URL
01101001.20161214165802001,20161214,한겨레,김광수,영남 첫 중학교 전면 무상급식 일군 김석준 부산시교육감,"“운이 좋았던 것 같습니다.” 김석준 부산시교육감은 새누리당의 텃밭인 영남에서 내년부터 중학교 전면 무상급식을 시작하게 된 것에 대해 14일 기자간담회에서 “최근 촛불집회의 영향이라는 시각도 있지만, 서병수 부산시장이 통 크게 결심했고 백종헌 부산시의회 의장이 조정을 잘했다”고 몸을 낮췄다. 교육계에선 무상급식에 부정적이던 부산시 부산시의회와 각을 세우..",http://www.hani.co.kr/arti/society/area/774619.html
01101001.20161214175815002,20161214,한겨레,,[지역이 중앙에게] ‘까불고 있어’와 지방권력 / 권영란,"권영란 진주 대표 지방자치가 무색하다. 지방정부의 독선과 권위가 하늘을 찌른다. 시민은 안중에 없고 대의민주주의는 실종된 지 오래다. 중앙권력이 시도 때도 없이 국민을 겁박하고, 편 갈라 싸움 붙이고, 여론을 조작하는 행태는 지방정부에서도 고스란히 드러난다. 아니 더욱 심각하다. 좁은 지역에서 인맥으로 얽힌 권력구조와 견제 세력이 없는 지방정부는 무소불..",http://www.hani.co.kr/arti/opinion/column/774654.html
01101001.20161215182819001,20161215,한겨레,,"[전치형, 과학의 언저리] 살 만한 곳",전치형 카이스트 과학기술정책대학원 교수 2016년 과학계의 화제 중 하나는 켄타우루스 자리 프록시마 별 주위를 도는 행성 프록시마 b의 발견이었다. 지난 8월 하순 유럽남천문대의 과학자들이 소개한 프록시마 b가 특히 큰 관심을 끈 것은 이 행성이 지구와 크기가 비슷하고 별에서 적당한 거리만큼 떨어져 있어서 그곳에 생명이 살 수도 있으리라는 기대 때문이었..,http://www.hani.co.kr/arti/opinion/column/774830.html
01100501.20161219141006007,20161219,문화일보,박영수,"‘1심 실형’ 홍준표, 2심서 작정하고 반격","오늘 첫 재판서 檢에 공세

“돈 전달은 허위증거” 반박



고 성완종 전 경남기업 회장으로부터 1억 원의 불법 정치자금을 수수한 혐의로 1심에서 실형을 선고받아 ‘벼랑 끝’에 선 홍준표 경남지사가 항소심 첫 재판부터 거세게 반격하고 나섰다.



홍 지사 측 변호인은 19일 오전 서울고법 제2형사부(재판장 이상주 부장판사) 심리로 열린 항소심 첫 공..",
01100201.20161220180555001,20161220,국민일보,창원=이영재 기자,홍준표 측 ‘금품수수’ 거센 반격,"‘성완종 리스트’에 올라 1심에서 정치자금법 위반 혐의로 실형을 선고받은 홍준표 경남지사측이 항소심 첫 재판부터 거세게 반격하고 나섰다. 
 
 홍 지사 변호인은 19일 서울고법 제2형사부(부장판사 이상주) 심리로 열린 항소심 첫 공판에서 “돈 전달책을 자처하는 경남기업 전 부사장 윤모(53)씨 진술이 일관되지 않고 다른 진술인들의 진술과 모순될 뿐 아..",http://news.kmib.co.kr/article/view.asp?arcid=0923662540&code=11131422
01100101.20161229143551001,20161229,경향신문,김정훈 기자 jhkim@kyunghyang.com,"홍준표 “반기문, 책임지지 않는 사람”",홍준표 경남도지사가 29일 반기문 유엔사무총장을 책임지지 않는 사람이라고 평가했다. 홍 지사는 이날 오전 송년 인사차 경남도청 프레스센터를 방문한 자리에서 이같이 평가했다.그는 “어떻게 보면 박근혜 정부에서 핍박을 받은 내가 새누리당을 나가야 한다. 새누리당은 박 대통령 사당이 아니라 보수본당”이라며 “나가는 사람들은 당권투쟁에서 밀려나 쫓겨난 것이다...,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201612291434001&code=620116
01101001.20161229202917001,20161229,한겨레,,12월 30일 인사,⊙ 헌법재판소 ◇사무처 ◇3급 △재정기획과장 이형주 ◇4급 △재판관 비서관 이진석 △재정기획과 유준영 △국제정책과 임국희 △심판제도과 박재은 ◇과장 △국제정책(심판사무 겸) 하정수 △총무 이성환 △협력행정 권순모 △정보화기획 최준수 △통일교육원 파견 정원국 △국방대 파견 석현철 ◇4급 △법제연구과 하영화 △헌법재판연구원 연구교수부 교육팀 김혜영 ⊙ 중앙..,http://www.hani.co.kr/arti/society/internalmove/776711.html
01100101.20161231222421001,20161231,경향신문,김정훈 기자 jhkim@kyunghyang.com,"올해 마지막 부산 촛불집회, 일본영사관 소녀상까지 행진","부산 ‘박근혜 퇴진’ 촛불집회 등 31일 영남권에서 올해 마지막 집회가 열렸다.박근혜 정권 퇴진 부산운동본부는 오후 6시 부산진구 중앙로서 제9차 시국회의를 열었다. 주최측 추산 2만명이 모였다. 집회 사전행사로 가수 김장훈 공연과 서울대 조국 교수 토크 콘서트가 열렸다. 오후 6시부터 자유발언, 밴드공연, 구호 제창 등 본 행사가 열렸다.집회 참가자들..",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201612312222001&code=620116
01100101.20170101225105001,20170101,경향신문,박성민 | 정치컨설턴트,[박성민의 2017 대선 시나리오]‘푸른 기와의 전설’ 새 주인공은 누구,프랑스의 작가 장 폴 뒤부아는 이라는 소설에서 한 프랑스 남자의 자화상을 다섯 번이나 바뀐 정권의 변천사 속에서 밀도 있게 그려냈다. 책의 목차가 인상 깊다. 9장으로 구성된 목차가 대통령 이름으로 되어 있다. 1. 샤를 드골 2. 알랭 포에르(1) 3. 조르주 퐁피두 4. 알랭 포에르(2) 5. 발레리 지스카르 데스탱 6. 프랑수아 미테랑(1) 7. ..,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201701012243005&code=910100
01100201.20170103185955001,20170103,국민일보,창원=글·사진 이영재 기자,[신년 초대석] 홍준표 경남지사 “흑자도정 원년으로 미래 50년 열겠다”,"“올해 경남은 빚이 없는 튼튼한 재정을 바탕으로 흑자도정의 원년을 이뤄 경남미래 50년 사업 가속화와 서민복지에 더욱 과감한 지원을 하겠습니다.” 
 
 홍준표 경남지사는 2일 국민일보와의 신년 인터뷰에서 “지난해가 경남미래 50년 사업의 기틀을 마련하는 시기였다면 올해는 신성장동력 산업들을 하나씩 다져가는 시기가 될 것이다”고 강조했다. 
 
 홍 지..",http://news.kmib.co.kr/article/view.asp?arcid=0923670926&code=11131422
01100101.20170104164146001,20170104,경향신문,글·사진 김정훈 기자 jhkim@kyunghyang.com,“홍준표 소환 서명부 옮겨 적었는데 구속? 과잉수사 중단 불구속 수사” 촉구,"홍준표 경남지사 주민소환운동본부(운동본부)는 4일 “주민소환의 정신을 훼손하는 과잉 수사를 즉각 중단하고 불구속 수사하라”고 촉구했다.

운동본부는 이날 경남지방경찰청 앞에서 기자회견을 열어 이같이 요구했다. 경남경찰청은 지난해 11월 23일 27일 이름 주소 서명이 적힌 출처 불명의 서명을 다른 사람에게 옮겨적게 한 혐의로 당시 수임인 이모씨(44)를..",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201701041640001&code=620116
01100201.20170113185155001,20170113,국민일보,,[여의춘추-한민수] 구세주 콘셉트,"여의도 정가에는 이른바 ‘구세주 콘셉트’라는 게 있다. 기독교에서 구세주는 죄악과 죽음에서 세상을 구원하는 예수 그리스도를 일컫는 말이지만, 정치권에서는 도저히 희망이 없어 보이는 진영이나 정당, 정파를 구해주기 위해 깜짝 등장하는 지도자를 의미한다. 구세주처럼 나타나 패색 짙었던 선거를 한방에 뒤집어버려 붙여졌다. 이를 선거 전략으로 삼은 것이 구세주..",http://news.kmib.co.kr/article/view.asp?arcid=0923677361&code=11171212
01100501.20170120141005012,20170120,문화일보,박영수,‘홍준표 1억수수 의혹’ 항소심 국회서 현장검증,"전달자 진술 입증 여부 주목



홍준표 경남지사 불법 정치자금수수 사건 항소심 재판부가 검찰 측 핵심증인인 돈 전달자의 배달 경로에 대한 현장검증에 나서 진위 판정에 관심이 쏠리고 있다.



서울고법 제2형사부(재판장 이상주 부장판사)는 20일 서울 영등포구 국회의사당 남문과 국회 의원회관 1, 2층 출입구 및 보안검색대, 의원회관 8층에서 의원실까..",
01101001.20170129100843002,20170129,한겨레,최상원,홍준표 대선 출마설 이와중에 경남도지사 보궐선거 열리나,"국정농단 사태로 정국이 요동치는 가운데 경남에선 도지사 보궐선거 실시 여부에 도민들의 관심이 쏠리고 있다. 벌써 보궐선거에 출마할 사람들의 이름까지 구체적으로 거론된다. 홍준표 경남지사가 새누리당 후보로 대통령선거에 나서며 도지사직을 사퇴했을 때 가능한 이야기인데, 지역 정가에선 “가능성이 낮지만 그렇다고 전혀 불가능한 이야기도 아니다”는 분석이 나온다..",http://www.hani.co.kr/arti/society/area/780511.html
01100201.20170202134644001,20170202,국민일보,이채은 대학생,"민주당 후보 적합도 “문재인 1위, 안희정 2배 상승한 2위”","주요 정당별 후보 적합도를 묻는 여론조사에서 더불어민주당 문재인 전 대표에 이어 안희정 충남지사가 당내 대선후보 2위에 올랐다. 
 
2일 CBS 김현정의 뉴스쇼에 출연한 여론조사전문기관 리얼미터 이택수 대표는 “‘정당지지와 상관없이 각 당의 대표는 누가될 것인지’를 묻는 정당별 후보 적합도 여론조사에서 더불어민주당 문재인 전 대표가 31.4%로 1위,..",http://news.kmib.co.kr/article/view.asp?arcid=0011239460&code=61111111&cp=kd
01101001.20170202222804001,20170202,한겨레,김진철,불붙은 ‘보수 간판’ 경쟁 황교안 유승민 남경필 3파전,"‘내가 나가면 새누리 후보가 된다. 황교안은 차악일 뿐이다. 내가 문재인과 양강 구도로 가면 박빙이다.’

 반기문 전 유엔 사무총장의 전격 퇴장 이튿날인 2일, 이런 ‘미확인 정보’가 정치권에 떠돌았다. ‘나’는 ‘성완종 리스트’로 재판을 받고 있는 홍준표 경남도지사다. 그의 항소심은 이달 중순으로 예정돼 있다. 홍 지사 쪽은 출마설에 즉각 “사실무근..",http://www.hani.co.kr/arti/politics/politics_general/781144.html
01100101.20170203190703001,20170203,경향신문,최인진 기자 ijchoi@kyunghyang.com,“강한 대한민국 만들겠다” 원유철 전 새누리당 원내 대표 대선 출마,"원유철 전 새누리당 원내 대표(사진)가 6일 오전 국회에서 기자회견을 열고 대선 출마를 공식 선언한다. 

원 전 대표는 3일 자신의 페이스북을 통해 “국민 여러분에게 든든한 대통령이 되겠다”며 “국민 모두가 행복한 강한 대한민국을 만들겠다”고 밝혔다. 

이인제 전 최고위원에 이어 당내 두 번째 대선 출마 선언이다. 이와 함께 김문수 전 경기지사, 정..",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201702031905001&code=910100
01100201.20170204000155001,20170204,국민일보,하윤해 기자,김무성 차출론 無후보론까지 潘 퇴장 후 ‘혼돈의 보수’,"보수 진영이 아노미 상태에 빠졌다. 반기문 전 유엔 사무총장의 갑작스러운 대선 불출마 선언 이후 보수 표심이 갈 곳을 잃었다. 바른정당 한 의원은 3일 “보수에 이렇게 사람이 없다니 한숨만 나온다”고 토로했다. 
 
 진보 진영과 비교하면 더욱 속이 타는 상황이다. ‘문재인 대세론’은 확산되고, 안희정 충남지사의 상승세도 매섭다. 안철수 전 대표와 이재..",http://news.kmib.co.kr/article/view.asp?arcid=0923689249&code=11121100
01100201.20170207051055001,20170207,국민일보,김경택 기자,대선주자 숫자는 많은데 고민 깊어지는 새누리당,"자천타천 대선주자로 거론되는 새누리당 인사들의 명단이 갈수록 풍성해지고 있다. 하지만 실제 출마 선언이 하나둘 이어질수록 당내 고심도 그만큼 깊어진다. 정권 재창출은커녕 대선 후보를 아예 내지 말아야 한다는 목소리도 만만치 않다. ‘1호 당원’인 박근혜 대통령의 탄핵심판 결정을 앞두고 있는 집권여당의 현주소다. 
 
 현재 새누리당 대선후보군은 줄잡아 ..",http://news.kmib.co.kr/article/view.asp?arcid=0923690573&code=11121100
01100201.20170209144555001,20170209,국민일보,창원=이영재 기자,"경남도, 노인 서민 등 취약계층 복지사업 확대 추진","경남도가 복지사각지대 해소와 자립기반 강화를 위해 ‘홀로어르신 행복지킴이단’, 찾아가는 ‘이동복지관’ ‘건강진단차량’ 등 다양한 서민생활 안정 대책을 시행한다. 
 
 경남도는 서민과 취약계층의 생활 안정을 위해 현장 중심의 아이디어를 접목해 노인 장애인 보건의료 분야 등 5개 분야에서 11개 시책을 새로 시행하고 6개 시책을 확대 추진한다고 9일 밝혔..",http://news.kmib.co.kr/article/view.asp?arcid=0011254944&code=61111311&cp=kd
01100201.20170212161344001,20170212,국민일보,이종선 기자,[단독]김진 전 중앙일보 논설위원 대선 출마설,"‘보수 논객’으로 유명한 김진 전 중앙일보 논설위원이 새누리당 후보로 이번 대선에 출마하는 방안을 검토 중인 것으로 알려졌다. 
 
 
 
 
새누리당 핵심 관계자는 12일 “김 전 위원이 이번 주 중 새누리당에 입당한 뒤 오는 15일쯤 대선 출마를 공식 선언할 것으로 안다”고 말했다. 이 관계자는 “보수 진영에서 인지도가 높고 논리력을 갖춘 김 전 위..",http://news.kmib.co.kr/article/view.asp?arcid=0011260775&code=61111111&cp=kd
01100201.20170213094944001,20170213,국민일보,뉴시스,"안희정 황교안, 오차범위 내 2위 접전 문재인, 6주 연속 1위","문재인 전 더불어민주당 대표의 지지율이 13일 6주 연속 1위를 이어갔다. 안희정 충남지사와 황교안 대통령 권한대행은 오차범위 내에서 치열한 2위 경쟁을 벌이고 있다. 
 
MBN 매일경제가 리얼미터에 의뢰해 지난 6~10일 전국 19세 이상 남녀 2511명을 조사해 13일 발표한 2월 2주차 여론조사 결과에 따르면 문 전 대표의 지지율은 32.9%로 ..",http://news.kmib.co.kr/article/view.asp?arcid=0011261781&code=61111111&cp=kd
01100201.20170213095744001,20170213,국민일보,정승훈 기자,"문재인 안희정 황교안 ‘1강 2중’, 안철수 이재명 하락 리얼미터 조사","차기 대선주자들의 경쟁 양상이 1강(문재인) 2중(안희정 황교안) 구도로 전개되고 있다. 반기문 전 유엔 사무총장의 불출마 선언 이후 이 같은 체제로 고착화되는 모양새다. 
 
13일 여론조사전문기관 리얼미터(대표 이택수)의 2월 2주차 주간 집계 여야 차기대선주자 지지도 조사에 따르면 문재인 전 더불어민주당 대표가 32.9%의 지지율로 1위를 굳혔다...",http://news.kmib.co.kr/article/view.asp?arcid=0011261820&code=61111111&cp=kd
01101001.20170214150847001,20170214,한겨레,김태규,새누리가 자유한국당으로 무언가 빠졌다,새누리당이 13일 이름을 자유한국당으로 바꿨다. 한나라당에서 새누리당으로 이름 바꾼 지 딱 5년 만이다. 민주당 계열 정통야당이 분열과 통합을 거듭하며 이름을 자주 바뀌었던 것과 달리 영남을 지역 기반으로 하는 보수정당은 비교적 안정적으로 생명력을 유지했다. 그렇지만 정치적 격변기에 보수정당은 당명 교체로 쇄신 이미지를 풍기고 위기를 탈출하려고 애썼다...,http://www.hani.co.kr/arti/politics/polibar/782549.html
01101001.20170214223821002,20170214,한겨레,김진철,"‘보수논객’ 김진, 자유한국당 경선 출마","‘보수 논객’으로 알려진 김진(58) 전 <중앙일보> 논설위원이 15일 자유한국당 입당 기자회견을 열고, 대선 후보 경선 참여를 선언할 예정이라고 자유한국당이 14일 밝혔다.

 김 전 논설위원은 중앙일보에서 정치부 기자와 워싱턴특파원을 거친 뒤 정치 담당 논설위원으로 일하다 지난해 11월 퇴사했다. 방송 토론프로그램에도 자주 출연해 얼굴을 알렸다. 김..",http://www.hani.co.kr/arti/politics/assembly/782655.html
01101001.20170215151901002,20170215,한겨레,최상원,"16일, 홍준표 ‘운명의 날’","홍준표 경남지사가 정치적 갈림길에 섰다. 법원 결정에 따라 ‘보수의 아이콘’으로 화려하게 재기할 수도 있지만, 사실상 정치 생명에 마침표를 찍을 수도 있다. 과연 ‘모래시계 검사의 신화’는 지켜질 것인가? 경남도청 안팎에서 모두가 숨죽이며 운명의 16일을 기다리고 있다.

 서울고법 형사2부(재판장 이상주)는 16일 오전 10시30분 이른바 ‘성완종 리..",http://www.hani.co.kr/arti/society/area/782713.html
01100201.20170216100744001,20170216,국민일보,정승훈 기자,문재인(32.7) 소폭 하락 안희정(19.3) 황교안(16.5)은 상승세 유지,"차기대선주자 지지도에서 1강(문재인) 2중(안희정 황교안) 구도가 고착화되는 가운데 2위 그룹의 상승세가 이어졌다.  
 
16일 여론조사전문기관 리얼미터(대표 이택수)의 2월 3주차 주중집계에 따르면 문재인 더불어민주당 전 대표는 32.7%를 기록했다. 2위권과 여전히 10%p 이상의 격차를 유지하고 있지만 지난 주보다는 소폭(0.2%p) 하락했다. ..",http://news.kmib.co.kr/article/view.asp?arcid=0011270420&code=61111111&cp=kd
01100201.20170216111344001,20170216,국민일보,정지용 기자,"신동욱, 김진 대선출마에 ""꼴찌만 안 해도 선수가 없긴 없나보다""","신동욱 공화당 총재는 김진 전 중앙일보 논설위원이 새누리당 후보로 대선 출마 선언을 하자 “신선도는 높지만 꼴찌만 안 해도 ‘댓길이(’매우 좋다‘는 경상도 사투리)”라며 “선수가 없긴 없나보다”라고 평했다. 
 
신 총재는 16일 자신의 트위터를 통해 “김진 ‘좌파세력 집권 저지’를 외치며 대선 출마를 했다”며 이같이 말했다. 이어 “김진 발언 그때는 ..",http://news.kmib.co.kr/article/view.asp?arcid=0011270606&code=61111111&cp=kd
01100101.20170216112045001,20170216,경향신문,이혜리 기자 lhr@kyunghyang.com,[속보]‘성완종 리스트’ 홍준표 경남도지사 항소심 무죄 금명간 대선 출마설,"‘성완종 리스트’에 연루돼 재판에 넘겨졌던 홍준표 경남도지사(63)가 항소심에서 ‘무죄’를 선고받았다.

홍 지사는 항소심 선고가 끝난 뒤 기자들에게 “맑은 눈으로 재판부가 판단을 해줘서 정말 감사합니다”라고 밝혔다.

서울고법 형사2부(재판장 이상주 부장판사)는 “공소사실에 대한 홍 지사의 해명에 석연치 않은 부분이 있지만 (돈을 줬다는) 윤승모 전 ..",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201702161119011&code=940100
01100201.20170216113044001,20170216,국민일보,나성원 기자,‘성완종 리스트’ 홍준표 지사 항소심서 무죄,"고 성완종 경남기업 회장으로부터 불법 정치자금 1억원을 받은 혐의로 1심에서 실형을 선고 받은 홍준표 경남도지사가 2심에서 무죄를 선고받았다. 
 
서울고법 형사2부(부장판사 이상주)는 이날 정치자금법 위반 혐의로 기소된 홍 지사에게 무죄를 선고했다.  
 
앞서 지난해 9월 1심 재판부는 홍 지사가 1억원의 불법 정치 자금을 받은 사실이 인정된다며 당..",http://news.kmib.co.kr/article/view.asp?arcid=0011270698&code=61121111&cp=kd
01100201.20170216113144001,20170216,국민일보,정지용 기자,[속보] 홍준표 경남지사 항소심서 무죄 대선출마 길 열려,"고(故) 성완종 전 경남기업 회장으로부터 불법정치자금 1억원을 받은 혐의로 1심에서 실형이 선고된 홍준표(63) 경남도지사가 항소심에서 무죄 판결을 받았다. 
 
서울고법 형사2부(부장판사 이상주)는 16일 정치자금법 위반 혐의로 기소된 홍 지사에게 징역 1년 6개월에 추징금 1억 원을 선고한 원심을 파기하고 무죄를 선고했다. 
 
앞서 검찰은 지난달 ..",http://news.kmib.co.kr/article/view.asp?arcid=0011270681&code=61111111&cp=kd
01100501.20170216121005012,20170216,문화일보,박영수,"‘기사회생’ 홍준표, 보수 대권후보群 합류하나","평소 거침없는 말투 행보 주목



홍준표 경남지사가 2심 재판에서 ‘성완종 리스트’의 올무를 풀고 극적으로 기사회생에 성공하면서 새롭게 대권주자 대열에 합류하고 나설지 주목된다.



홍 지사는 16일 성완종 전 경남기업 회장 1억 원 불법 정치자금 수수 사건과 관련해 징역 1년 6월을 선고받은 1심 판결을 뒤집고 항소심에서 무죄를 선고받았다. 홍 ..",
01100501.20170216121005009,20170216,문화일보,정철순,홍준표 ‘성완종 1억 수수’ 항소심 무죄,"서울고법, 1심 유죄판결 파기 

“돈 전달자 진술 믿기 어려워”



고 성완종 전 경남기업 회장으로부터 불법정치자금 1억 원을 받은 혐의로 기소된 홍준표(63) 경남지사에 대한 항소심에서 징역 1년6월에 추징금 1억 원을 선고한 1심 판결이 파기되고 무죄가 선고됐다.



서울고법 형사2부(부장 이상주)는 16일 열린 선고공판에서 “범죄 사실 인정은..",
01101001.20170216121821002,20170216,한겨레,허재현,홍준표 무죄 선고 “맑은 눈의 재판부에 감사”,"성완종 전 경남기업 회장에게서 1억원의 불법 정치자금을 받은 혐의로 기소돼 재판을 받아온 홍준표(63) 경남도지사가 항소심에서 무죄를 선고받았다. 

 서울고법 형사2부(재판장 이상주)는 16일 홍 지사에게 징역 1년6개월 실형을 선고한 원심을 뒤집고 무죄를 선고했다. 재판부는 “홍 지사에게 돈이 전달됐다는 직접 증거는 ‘돈 전달자’라고 자백한 윤승모씨..",http://www.hani.co.kr/arti/society/society_general/782864.html
01101001.20170216125846001,20170216,한겨레,최상원,홍준표 2심서 무죄선고 ‘모래시계 신화’는 계속?,"이른바 ‘성완종 리스트’ 관련 정치자금법 위반 혐의로 재판을 받는 홍준표 경남지사가 실형을 선고한 1심을 뒤집고 2심에서 무죄를 받았다. 아직 대법원 최종심이 남아 있지만, 지역에선 벌써부터 보수진영의 대통령 후보로 홍 지사를 거론하고 있다.

 서울고법 형사2부(재판장 이상주)는 16일 성완종 전 경남기업 회장에게서 1억원의 불법 정치자금을 받은 혐의..",http://www.hani.co.kr/arti/society/area/782873.html
01101001.20170216145815002,20170216,한겨레,최상원,"홍준표 경남지사, 무죄 선고받자 대선 출마 뜻 내비쳐","홍준표 경남지사가 대통령선거에 출마할 뜻을 내비쳤다. 이른바 ‘성완종 리스트’ 관련 정치자금법 위반 혐의 2심 재판에서 무죄를 선고받은 지 불과 4시간 만이다.

 홍준표 경남지사는 16일 오후 서울 여의도에 있는 경남도 서울사무소에서 기자간담회를 열어 “총체적인 국가위기를 맞아 저 자신부터 뼈를 깎는 심정으로 거듭 태어나 국가와 국민을 위해 분골쇄신하..",http://www.hani.co.kr/arti/society/area/782893.html
01100101.20170216150323001,20170216,경향신문,박순봉 기자 gabgu@kyunghyang.com,무죄 받은 홍준표 “성완종 메모는 모래시계 검사의 업보 낮은 자세로 성심 다하겠다”,"2심에서 무죄 선고를 받은 홍준표 경남지사(63)가 16일 “성완종 메모는 모래시계 검사의 업보라고 생각했다”며 “낮은 자세로 성심을 다하겠다”고 밝혔다.

홍 지사는 이날 서울 여의도의 경남 서울사무소에서 기자회견을 열어 “저는 오늘 무죄 판결을 받았다. ‘성완종 메모’라는 황당한 사건에 연루되어 1년10개월간 많은 인고의 시간을 겪어야만 했다”며 이..",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201702161501001&code=910100
01100201.20170216151444001,20170216,국민일보,정지용 기자,홍준표 관련 테마주 폭등 밀양 신공항 기대감,"홍준표 경남지사 관련 테마주가 일제히 폭등하고 있다. '성완종 리스트' 사건으로 기소된 홍준표 경남도지사가 16일 서울고법에서 열린 항소심에서 무죄 선고를 받자 밀양신공항 관련주가 한때 상한가를 기록했다. 
대표적인 홍준표 테마주로 꼽히는 두올산업은 이날 오전 홍 지사에 대한 무죄 판결 직후부터 급등하기 시작했다. 오후 3시3분 현재 전거래일 대비 28..",http://news.kmib.co.kr/article/view.asp?arcid=0011271213&code=61121111&cp=kd
01100201.20170216155144001,20170216,국민일보,고승욱 기자,[나른한 오후 톡톡] 청와대 압수수색 불가능 ‘꽉 막힌’ 특검,"청와대가 압수수색을 거부하지 못하게 해달라며 박영수 특별검사가 제기한 소송이 각하됐습니다. 법원이 판단할 사안이 아니라는 것입니다. 이제 특검의 청와대 압수수색은 ‘완전히’ 불가능합니다. 
▶법원, 특검의 청와대 압수수색 신청 각하 
 
 
반기문 전 유엔 사무총장의 대선 불출마 선언으로 답답해 하던 보수진영에 반가운 소식 날아들었습니다. 불법정치자금 ..",http://news.kmib.co.kr/article/view.asp?arcid=0011271359&code=61121111&cp=kd
01100201.20170216155344001,20170216,국민일보,신은정 기자,홍준표지사가 '무죄' 받은뒤 바로 한 일 박사모 극찬,"홍준표 경남도지사가 '성완종 리스트' 사건과 관련한 항소심에서 무죄를 선고 받은 뒤 태극기를 들었다. 박사모 등 보수단체 회원들은 이 모습을 박근혜 대통령 지지 '태극기 집회'와 연결하며 극찬 중이다. 
 
다음은 홍준표 지사가 16일 항소심 무죄판결을 받고 서울 서초동 서울고등법원을 나서는 장면이다. 뉴시스에 따르면 이때 한 시민이 홍준표 지사에게 태..",http://news.kmib.co.kr/article/view.asp?arcid=0011271361&code=61111111&cp=kd
01100101.20170216212319002,20170216,경향신문,,[사설]성완종 1억 수수 홍준표 무죄 납득할 수 없다,고 성완종 전 경남기업 회장으로부터 1억원을 받은 혐의로 기소된 홍준표 경남지사에 대해 항소심 재판부가 무죄를 선고했다. 금품 전달자 윤승모씨의 진술을 그대로 믿기 어렵다는 이유 때문이다. 서울고법 형사2부(이상주 부장판사)는 16일 “1억원을 전달하기 위해 홍 지사의 국회 의원회관 집무실을 찾아간 과정이나 집무실의 구조 등에 대한 윤씨의 진술은 객관적..,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201702162121005&code=990101
01100101.20170216224712004,20170216,경향신문,이용욱 기자 woody@kyunghyang.com,후보 풍년에도 한국당 ‘떨떠름’,"ㆍ황교안 외엔 지지율 ‘바닥’ 
ㆍ홍준표 김진 등 ‘민폐’ 지적

자유한국당이 대선주자 풍년에도 ‘떨떠름한’ 표정이다. 당 안팎에서 이미 출마를 선언했거나, 조만간 선언할 대선주자들을 합하면 10명이 넘는다. 여야 4당 중 수적으로는 가장 많다. 

하지만 황교안 대통령 권한대행을 제외하면 지지율이 바닥이고, 몇몇 주자들은 각종 논란에 휩싸였다. 당 일..",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201702162241005&code=910402
01101001.20170216224828002,20170216,한겨레,이경미,홍준표 지사 ‘대선 출마’ 내비쳐 성완종 정치자금 혐의 2심 무죄,"고 성완종 경남기업 회장으로부터 불법 정치자금 1억원을 받은 혐의로 기소된 홍준표 경남지사가 2심에서 무죄를 받은 직후 “총체적인 국가위기를 극복하기 위해 분골쇄신하겠다”고 밝혔다. 직접 언급은 하지 않았지만 대선 출마 뜻을 내비친 것으로 풀이된다.

 서울고법 형사2부(재판장 이상주)는 16일 홍 지사에게 징역 1년6개월 실형을 선고한 원심을 뒤집고 ..",http://www.hani.co.kr/arti/politics/assembly/783033.html
01100101.20170216224923003,20170216,경향신문,이혜리 기자 lhr@kyunghyang.com,"홍준표도 뒤집혔다 ‘성완종 리스트’ 연루, 1심 뒤집고 항소심 ‘무죄’","ㆍ“홍 지사 해명 석연치 않지만 돈 전달자 증언도 신빙성 없어” 
ㆍ해당 재판부, 이완구에도 무죄 선고 검찰 “납득 힘든 판결”


‘성완종 리스트’에 연루돼 1심에서 징역형을 받았던 홍준표 경남지사(63)가 항소심에서 무죄를 선고받았다. 재판부는 홍 지사에게 돈을 전달했다는 윤승모 전 경남기업 부사장(54)의 진술에 신빙성이 없다고 판단했다.

해당 ..",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201702162236005&code=940301
01100201.20170217183155002,20170217,국민일보,양민철 하윤해 기자,"‘성완종 1억 수수’ 항소심서 무죄 ‘족쇄’ 풀린 홍준표, 대선 출마 열어뒀다","성완종 전 경남기업 회장에게 1억원을 받았다는 혐의로 기소된 홍준표(63) 경남지사가 항소심에서 무죄를 선고받았다. 지난해 9월 유죄를 선고한 1심 판결은 5개월 만에 뒤집혔다. 기사회생한 홍 지사는 “절망과 무력감에 빠진 국민들에게 희망을 드릴 수 있다면 어떤 어려움도 마다하지 않겠다”며 대선 출마를 시사했다. 
 
 서울고법 형사2부(부장판사 이상주..",http://news.kmib.co.kr/article/view.asp?arcid=0923696892&code=11131900
